python2-dnspython 1.14.0-1
python2-gobject 3.20.0-2
python2-gobject2 2.28.6-12
python2-html5lib 0.9999999-2
python2-keybinder2 0.3.0-2
python2-lxml 3.6.0-1
python2-mechanize 0.2.5-4
python2-netifaces 0.10.4-2
python2-notify 0.1.1-13
python2-numpy 1.11.0-1
python2-packaging 16.7-1
python2-pam 0.1.4-3
python2-pexpect 4.0.1-2
python2-pillow 3.2.0-1
python2-psutil 4.2.0-1
python2-ptyprocess 0.5.1-1
python2-pygments 2.1.3-1
python2-pyinotify 0.9.6-2
python2-pyparsing 2.1.4-1
python2-pyqt5 5.6-1
python2-setuptools 1:23.0.0-1
python2-sip 4.18-1
python2-six 1.10.0-1
qhull 2015.2-1
qpdf 6.0.0-2
qscintilla-qt4 2.9.2-1
qt4 4.8.7-9
qt5-3d 5.6.1-1
qt5-base 5.6.1-2
qt5-canvas3d 5.6.1-1
qt5-connectivity 5.6.1-1
qt5-declarative 5.6.1-2
qt5-doc 5.6.1-1
qt5-enginio 5.6.1-1
qt5-examples 5.6.1-1
qt5-graphicaleffects 5.6.1-1
qt5-imageformats 5.6.1-1
qt5-location 5.6.1-1
qt5-multimedia 5.6.1-1
qt5-quickcontrols 5.6.1-1
qt5-quickcontrols2 5.6.1-1
qt5-script 5.6.1-1
qt5-sensors 5.6.1-1
qt5-serialbus 5.6.1-1
qt5-serialport 5.6.1-1
qt5-svg 5.6.1-1
qt5-tools 5.6.1-1
qt5-translations 5.6.1-1
qt5-wayland 5.6.1-1
qt5-webchannel 5.6.1-1
qt5-webengine 5.6.1-2
qt5-webkit 5.6.1-1
qt5-websockets 5.6.1-1
qt5-x11extras 5.6.1-1
qt5-xmlpatterns 5.6.1-1
qtchooser 53-2
qtwebkit 2.3.4-4
randrproto 1.5.0-1
ranger 1.7.2-1
raptor 2.0.15-4
rasqal 1:0.9.33-1
readline 6.3.008-3
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.8.0-1
rfkill 0.5-1
rofi 1.1.0-1
rpcbind 0.2.3-3
rsync 3.1.2-1
rtkit 0.11-5
rtmpdump 1:2.4.r96.fa8646d-2
ruby 2.3.1-1
ruby-diff-lcs 1.2.5-5
